titre,ingredients,instructions,tempspreparation,photo
Spaghetti et Boulettes de Viande,"400 g de spaghetti, 400 g de bœuf haché, 2 œufs, 60 g de chapelure, 60 g de parmesan râpé, 200 g de sauce tomate, 2 gousses d'ail, 2 cuillères à soupe de basilic frais haché, Sel et poivre au goût","1. Cuisez les spaghetti selon les instructions du paquet. 2. Dans un bol, mélangez le bœuf haché, les œufs, la chapelure et le parmesan. 3. Façonnez des boulettes de viande et cuisez-les. 4. Dans une casserole, chauffez la sauce tomate avec l'ail et le basilic. 5. Mélangez les boulettes de viande avec la sauce et servez sur les spaghetti.",30,https://i.ibb.co/M1ZfBWQ/Best-Spaghetti-and-Meatballs-exps1912-PP2321917-A05-09-2b-C-RMS-696x696.jpg
Fondants au Houmous,"400 g de houmous, 4 petits pains, 1 tomate, 1 avocat, 60 g de fromage feta émietté, 1 cuillère à soupe d'origan séché",1. Préchauffez le four à 200°C. 2. Coupez les petits pains en deux dans le sens de la longueur. 3. Étalez du houmous sur chaque moitié de petit pain. 4. Disposez des tranches de tomate et d'avocat sur le houmous. 5. Saupoudrez de fromage feta et d'origan. 6. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 7. Servez.,15,https://i.ibb.co/tCftHSV/867447.jpg
Spirales de Patate Douce Spaghetti,"400 g de spirales de patate douce, 200 g de tomates cerises coupées en deux, 200 g d'épinards frais, 2 gousses d'ail, 60 ml d'huile d'olive, 60 g de fromage parmesan râpé, Sel et poivre au goût","1. Cuisez les spirales de patate douce selon les instructions du paquet. 2. Dans une poêle, faites sauter les tomates cerises, les épinards et l'ail dans l'huile d'olive. 3. Mélangez les spirales de patate douce cuites avec les légumes sautés. 4. Saupoudrez de parmesan. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",20,https://i.ibb.co/NVHpmkB/P67-Bht-ASYq-Glt-JXo-H9wn-2018-0330-Cece2029.jpg
Soupe Taco,"400 g de bœuf haché, 1 oignon, 2 poivrons, 200 g de maïs en grains, 200 g de haricots noirs, 200 g de tomates en dés, 1 sachet d'assaisonnement pour tacos, 1 litre de bouillon de bœuf, Sel et poivre au goût","1. Dans une casserole, cuisez le bœuf haché avec l'oignon et les poivrons. 2. Ajoutez le maïs, les haricots noirs, les tomates en dés et l'assaisonnement pour tacos. 3. Versez le bouillon de bœuf et laissez mijoter. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",30,https://i.ibb.co/St551KV/Taco-Soup-4-copy-675x945.jpg
Gratin de Taquitos Enchilada,"400 g de taquitos au poulet, 200 g de sauce enchilada, 200 g de fromage cheddar râpé, 60 g de coriandre fraîche hachée, 1 avocat, 60 ml de crème aigre","1. Préchauffez le four à 200°C. 2. Dans un plat de cuisson, disposez les taquitos. 3. Versez la sauce enchilada sur les taquitos. 4. Saupoudrez de fromage cheddar. 5. Cuisez au four jusqu'à ce que le fromage soit fondu et doré. 6. Garnissez avec de la coriandre fraîche, de l'avocat tranché et de la crème aigre. 7. Servez.",25,https://i.ibb.co/V9bYHf0/Taquito-Casserole-500x300-1011337053.jpg
Taquitos,"400 g de taquitos au bœuf, 200 g de salsa, 60 g de fromage cheddar râpé, 60 ml de crème aigre, 1 avocat","1. Préchauffez le four à 200°C. 2. Disposez les taquitos sur une plaque de cuisson. 3. Cuisez au four jusqu'à ce qu'ils soient croustillants. 4. Réchauffez la salsa. 5. Garnissez les taquitos cuits avec du fromage cheddar, de la salsa, de l'avocat tranché et de la crème aigre. 6. Servez.",20,https://i.ibb.co/16BvLZX/Taquitos.jpg
Tortellini,"400 g de tortellini au fromage, 200 g de sauce Alfredo, 200 g d'épinards frais, 200 g de tomates séchées, 60 g de parmesan râpé, Sel et poivre au goût","1. Cuisez les tortellini selon les instructions du paquet. 2. Dans une casserole, faites chauffer la sauce Alfredo avec les épinards et les tomates séchées. 3. Mélangez les tortellini cuits avec la sauce. 4. Ajoutez le parmesan. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",20,https://i.ibb.co/3WMCXTD/maxresdefault.jpg
Sandwich BLTA Ultime,"400 g de bacon, 8 tranches de pain grillé, 2 avocats, 4 feuilles de laitue, 4 tomates, 60 ml de mayonnaise, Sel et poivre au goût","1. Cuisez le bacon jusqu'à ce qu'il soit croustillant. 2. Sur 4 tranches de pain grillé, étalez de la mayonnaise. 3. Disposez le bacon cuit, l'avocat, la laitue et la tomate sur chaque tranche de pain. 4. Assaisonnez avec du sel et du poivre. 5. Recouvrez avec les tranches de pain restantes. 6. Servez.",20,https://i.ibb.co/CsLp1k1/BLT-1-900x600.jpg
Soupe Végétarienne aux Tortillas,"1 oignon, 2 poivrons, 400 g de maïs en grains, 400 g de haricots noirs, 200 g de tomates en dés, 1 litre de bouillon de légumes, 60 ml de sauce tomate, 2 cuillères à soupe de cumin, 2 cuillères à soupe de chili en poudre, Sel et poivre au goût","1. Dans une casserole, faites revenir l'oignon et les poivrons. 2. Ajoutez le maïs, les haricots noirs, les tomates en dés, le bouillon de légumes, la sauce tomate, le cumin et le chili en poudre. 3. Laissez mijoter jusqu'à ce que les légumes soient tendres. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",30,https://i.ibb.co/BrzgrTC/790006.jpg
Falafel Wraps,"400 g de falafels, 4 wraps de blé entier, 200 g de laitue, 200 g de tomates, 1 concombre, 200 g de yaourt grec, 2 cuillères à soupe de jus de citron, Sel et poivre au goût","1. Cuisez les falafels selon les instructions du paquet. 2. Réchauffez les wraps. 3. Dans chaque wrap, placez des falafels, de la laitue, des tomates et des rondelles de concombre. 4. Dans un bol, mélangez le yaourt grec avec le jus de citron. 5. Ajoutez la sauce au yaourt sur les ingrédients dans le wrap. 6. Assaisonnez avec du sel et du poivre. 7. Enveloppez les wraps et servez.",20,https://i.ibb.co/0fVjV17/2908102.jpg
Pâtes au Seitan à l'Italienne,"400 g de pâtes, 400 g de seitan, 200 g de sauce tomate, 2 gousses d'ail, 2 cuillères à soupe d'origan séché, 60 ml d'huile d'olive, Sel et poivre au goût",1. Cuisez les pâtes selon les instructions du paquet. 2. Cuisez le seitan dans l'huile d'olive avec l'ail et l'origan. 3. Ajoutez la sauce tomate et laissez mijoter. 4. Mélangez les pâtes cuites avec la sauce au seitan. 5. Assaisonnez avec du sel et du poivre. 6. Servez.,25,https://i.ibb.co/7jPHRj7/spaghetti-bolognese-recipe-vegetarian-seitan-mince.jpg
Pâtes au Pesto avec Tomates Séchées et Asperges,"400 g de pâtes, 60 g de pesto, 200 g de tomates séchées, 200 g d'asperges, 60 g de parmesan râpé, Sel et poivre au goût","1. Cuisez les pâtes selon les instructions du paquet. 2. Dans une poêle, faites sauter les tomates séchées et les asperges. 3. Mélangez les pâtes cuites avec le pesto, les légumes sautés et le parmesan. 4. Assaisonnez avec du sel et du poivre. 5. Servez.",20,https://i.ibb.co/CKKZbjB/IMG-4101-1.jpg
Bacon Maïs,"400 g de maïs en grains, 200 g de bacon, 2 cuillères à soupe de sirop d'érable, 1 cuillère à soupe de paprika fumé, Sel et poivre au goût","1. Cuisez le maïs dans une poêle. 2. Dans une autre poêle, cuisez le bacon jusqu'à ce qu'il soit croustillant. 3. Égouttez le maïs et ajoutez le bacon cuit. 4. Ajoutez le sirop d'érable et le paprika fumé. 5. Mélangez bien et assaisonnez avec du sel et du poivre. 6. Servez.",15,https://i.ibb.co/5cS0q66/image-url-http2-F2-Fsites2-Ffiles2-Fmedium-2x2-Ffresh-corn-saute-bacon-chives-ck.jpg
Frites de Carottes à l'Air Frites,"400 g de carottes, 30 ml d'huile d'olive, 2 cuillères à soupe de paprika, 1 cuillère à soupe de cumin, Sel et poivre au goût","1. Préchauffez l'air fryer à 200°C. 2. Épluchez les carottes et coupez-les en bâtonnets. 3. Dans un bol, mélangez les carottes avec l'huile d'olive, le paprika et le cumin. 4. Disposez les carottes dans l'air fryer. 5. Cuisez jusqu'à ce qu'elles soient dorées et croustillantes. 6. Assaisonnez avec du sel et du poivre. 7. Servez.",20,https://i.ibb.co/YLcSxsD/fried-carrots.jpg
Saucisse de Poulet Italienne Grillée et Poivrons,"400 g de saucisses de poulet italiennes, 2 poivrons, 1 oignon, 60 ml d'huile d'olive, 2 cuillères à soupe d'origan séché, Sel et poivre au goût","1. Préchauffez le gril. 2. Sur le gril, cuisez les saucisses de poulet italiennes avec les poivrons et l'oignon. 3. Badigeonnez les saucisses et les légumes avec l'huile d'olive pendant la cuisson. 4. Saupoudrez d'origan. 5. Assaisonnez avec du sel et du poivre. 6. Servez.",25,https://i.ibb.co/0thfcWB/Grilled-Italian-Chicken-Sausage-and-Peppers-Pita-Recipe-Aggies-Kitchen.jpg
Burritos au Poulet,"400 g de poulet, 4 tortillas de farine, 200 g de riz cuit, 200 g de haricots noirs, 200 g de maïs en grains, 200 g de salsa, 60 g de fromage cheddar râpé, 60 ml de crème aigre","1. Cuisez le poulet et coupez-le en lanières. 2. Réchauffez les tortillas. 3. Dans chaque tortilla, placez du riz cuit, des haricots noirs, du maïs, du poulet, de la salsa, du fromage cheddar et de la crème aigre. 4. Enveloppez les burritos et servez.",30,https://i.ibb.co/NszMnHb/QUORN-FAJITAS.jpg
Poulet Tikka Masala,"400 g de poulet, 200 g de yaourt grec, 200 g de purée de tomates, 2 cuillères à soupe de pâte de curry tikka, 2 gousses d'ail, 1 oignon, 200 ml de crème, 60 ml d'huile végétale, 2 cuillères à soupe de coriandre fraîche hachée, Sel et poivre au goût","1. Dans un bol, mélangez le yaourt grec avec la pâte de curry tikka. 2. Coupez le poulet en morceaux et marinez-le dans le mélange de yaourt. 3. Dans une poêle, faites revenir l'oignon et l'ail dans l'huile. 4. Ajoutez le poulet mariné et faites cuire jusqu'à ce qu'il soit doré. 5. Ajoutez la purée de tomates et laissez mijoter. 6. Versez la crème et mélangez. 7. Assaisonnez avec du sel et du poivre. 8. Garnissez de coriandre fraîche. 9. Servez avec du riz ou du pain naan.",40,https://i.ibb.co/K6L5Frc/Tikka-Chicken-Masala-maya-kaimal.jpg
Nuggets de Poulet,"400 g de filets de poulet, 200 g de chapelure, 2 œufs battus, 60 g de parmesan râpé, 1 cuillère à café de paprika, Sel et poivre au goût","1. Préchauffez le four à 200°C. 2. Coupez les filets de poulet en morceaux. 3. Dans un bol, mélangez la chapelure, le parmesan, le paprika, du sel et du poivre. 4. Trempez chaque morceau de poulet dans les œufs battus, puis roulez-les dans le mélange de chapelure. 5. Disposez les morceaux sur une plaque de cuisson. 6. Cuisez au four jusqu'à ce qu'ils soient dorés et cuits à cœur. 7. Servez avec une sauce de votre choix.",25,https://i.ibb.co/JjK6Hg5/5019503023817-0003-1498114915291.jpg
Bouchées de Chou-fleur à l'Air Frites,"400 g de bouquets de chou-fleur, 60 g de farine, 60 ml de lait, 60 g de parmesan râpé, 1 cuillère à café de paprika, 1 cuillère à café de poudre d'ail, Sel et poivre au goût","1. Préchauffez l'air fryer à 200°C. 2. Dans un bol, mélangez la farine, le lait, le parmesan, le paprika, la poudre d'ail, du sel et du poivre pour faire une pâte. 3. Trempez chaque bouquet de chou-fleur dans la pâte. 4. Disposez les bouquets dans l'air fryer. 5. Cuisez jusqu'à ce qu'ils soient dorés et croustillants. 6. Assaisonnez avec du sel et du poivre. 7. Servez avec une sauce de votre choix.",20,https://i.ibb.co/nBSgg7V/img95l.jpg
Petits Pois & Carottes,"400 g de petits pois, 400 g de carottes coupées en rondelles, 60 g de beurre, 2 cuillères à soupe de persil frais haché, Sel et poivre au goût","1. Cuisez les petits pois et les carottes dans de l'eau bouillante salée jusqu'à ce qu'ils soient tendres. 2. Égouttez-les. 3. Dans une poêle, faites fondre le beurre. 4. Ajoutez les petits pois et les carottes. 5. Faites sauter pendant quelques minutes. 6. Saupoudrez de persil frais. 7. Assaisonnez avec du sel et du poivre. 8. Servez.",20,https://i.ibb.co/LYfNCM4/11147-Peas-Carrots800.jpg
